field,dtype,description,unit,role
financial_ratio_1,float,用于判别演示的模拟指标 1,synthetic unit,input
financial_ratio_2,float,用于判别演示的模拟指标 2,synthetic unit,input
financial_ratio_3,float,用于判别演示的模拟指标 3,synthetic unit,input
financial_ratio_4,float,用于判别演示的模拟指标 4,synthetic unit,input
financial_ratio_5,float,用于判别演示的模拟指标 5,synthetic unit,input
financial_ratio_6,float,用于判别演示的模拟指标 6,synthetic unit,input
synthetic_class,int,生成器提供的三分类检验标签,category,validation target
actual,int,测试集真实生成标签,category,test output
LDA,int,线性判别分析预测类别,category,test output
QDA,int,二次判别分析预测类别,category,test output
